Allonnes,Très bien,2
Parthenay,Assez bien,8
Digne-les-Bains,Sans information,0
Estaires,Assez bien,9
Lempdes,Sans information,0
Nogaro,Sans information,0
Paris 14e  Arrondissement,Assez bien,385
Evron,Sans information,0
Escurolles,Assez bien,3
Dol-de-Bretagne,Bien,15
Magny-le-Hongre,Très bien,3
Cagnes-sur-Mer,Bien,2
Cugnaux,Sans information,0
Neuilly-sur-Marne,Très bien avec félicitations du jury,0
Le Mesnil-Saint-Denis,Très bien,1
Le Creusot,Assez bien,172
Amilly,Sans mention,22
Sarlat-la-Canéda,Sans mention,4
Madrid,Sans mention,0
Vic-en-Bigorre,Sans mention,9
Saint-Affrique,Assez bien,21
Mont-Saint-Aignan,Très bien,164
Le Kremlin-Bicêtre,Assez bien,185
Paris  4e  Arrondissement,Sans information,0
Manosque,Sans mention,20
Aniche,Très bien,1
Les Andelys,Sans information,0
Montmorency,Bien,9
Luçon,Bien,9
Quintin,Très bien,0
Châteauneuf-de-Galaure,Très bien,1
Crézancy,Très bien,0
Bagnols-sur-Cèze,Bien,22
Bruz,Très bien,29
Saint-Denis,Très bien avec félicitations du jury,38
Lambersart,Très bien avec félicitations du jury,0
Gérardmer,Assez bien,13
Lagny-sur-Marne,Bien,4
Châtillon-sur-Seine,Sans information,0
Bourges,Sans mention,322
Anzin,Bien,5
Berck,Très bien,4
Marseille  5e  Arrondissement,Assez bien,497
Meylan,Bien,30
Aiguillon,Très bien,2
Trappes,Assez bien,30
Valbonne,Sans information,0
Le Tampon,Très bien avec félicitations du jury,16
Ottange,Sans information,0
Trévoux,Sans information,0
Moorea,Assez bien,7
Lorgues,Très bien avec félicitations du jury,0
Nandax,Sans information,0
Trévoux,Assez bien,0
Thônes,Sans information,0
Civray,Très bien avec félicitations du jury,0
Senlis,Bien,4
Lure,Bien,6
Louviers,Assez bien,14
Marseille  4e  Arrondissement,Sans information,0
Beaune,Très bien avec félicitations du jury,0
Laxou,Assez bien,31
Cosne-Cours-sur-Loire,Très bien avec félicitations du jury,0
Wingles,Assez bien,25
Civray,Sans mention,4
Montceau-les-Mines,Très bien,8
Vénissieux,Sans mention,61
Morsang-sur-Orge,Bien,0
Nérac,Sans information,0
Saint-Méen-le-Grand,Bien,1
Limoges,Sans information,0
Chauvigny,Sans information,0
Arras,Sans information,0
Saverne,Très bien,1
Clermont-l'Hérault,Sans mention,13
Lieusaint,Bien,230
Douvres-la-Délivrande,Sans information,1
Asnières-sur-Seine,Assez bien,14
Saint-Martin,Sans mention,11
Plaisir,Très bien,0
Lesneven,Bien,3
Lille,Très bien,2850
Landivisiau,Très bien,0
Saint-Gaudens,Sans mention,20
Camblanes-et-Meynac,Assez bien,2
Paris 15e  Arrondissement,Assez bien,1162
Felletin,Très bien,2
Arradon,Assez bien,98
Saint-Dié-des-Vosges,Bien,31
Oyonnax,Assez bien,11
Le Marin,Bien,4
Lamballe-Armor,Assez bien,3
Saint-Christol-lez-Alès,Très bien,1
Papeete,Assez bien,85
L'Isle-sur-la-Sorgue,Très bien avec félicitations du jury,0
Fontaine-lès-Vervins,Très bien avec félicitations du jury,0
Auzeville-Tolosane,Sans information,0
Rosières-près-Troyes,Très bien avec félicitations du jury,0
Romorantin-Lanthenay,Sans mention,6
Valserhône,Sans information,0
Nogaro,Très bien,0
Plouisy,Assez bien,15
Foix,Sans information,0
Darnétal,Très bien,23
Forbach,Très bien,6
Rouillé,Sans mention,11
Saint-Pierre-Quiberon,Très bien,0
Ottange,Bien,5
Châtillon-sur-Seine,Bien,2
Mtsamboro,Assez bien,9
Le Petit-Quevilly,Bien,6
Le Mesnil-Saint-Denis,Bien,10
Plaisir,Très bien avec félicitations du jury,0
Sours,Bien,2
Creutzwald,Sans mention,8
L'Isle-Adam,Très bien,0
Eysines,Très bien,1
Saintes,Bien,13
Vire Normandie,Sans mention,32
Rodez,Assez bien,328
Javené,Très bien avec félicitations du jury,0
Etampes,Très bien avec félicitations du jury,0
Olivet,Très bien avec félicitations du jury,1
Mantes-la-Ville,Sans mention,26
Bondoufle,Très bien avec félicitations du jury,0
Vals-près-le-Puy,Bien,5
Cenon,Sans information,0
Roissy-en-Brie,Sans mention,38
Beauvais,Sans information,0
Landivisiau,Sans mention,8
Basse-Goulaine,Sans mention,19
Saint-Cyr-l'Ecole,Sans information,0
Le Portel,Sans mention,3
Saint-Maixent-l'Ecole,Très bien avec félicitations du jury,0
Arpajon,Très bien avec félicitations du jury,0
Gennevilliers,Assez bien,15
Misérieux,Bien,7
Art-sur-Meurthe,Sans information,0
Eysines,Très bien avec félicitations du jury,0
Sartène,Très bien,2
Dinard,Très bien avec félicitations du jury,0
Vierzon,Très bien,2
Lesparre-Médoc,Très bien avec félicitations du jury,0
Saint-Quay-Portrieux,Sans information,0
Mantes-la-Jolie,Assez bien,123
Champigny-sur-Marne,Bien,6
Saint-Clément-de-Rivière,Bien,2
Joigny,Sans mention,14
Lunel,Très bien,3
